Ad_Reference_ID,ad_category,ad_device,ad_location,ad_type,cost_per_click,ad_video_length,total_clicks,total_impressions,ctr,avg_watch_duration,total_ad_spend,total_revenue,roas,total_conversions,conversion_rate,overall_conversion_rate,avg_user_age,unique_users,avg_watch_ratio,avg_ded_score,category_age_affinity,platforms_used,devices_used,platform_avg_roas,platform_total_spend,platform_total_revenue,active_time_slots,best_day,avg_hour,ingestion_date,ingestion_timestamp,engagement_efficiency,profit_margin,cost_per_conversion,high_performance,cost_efficiency_score,engagement_score,audience_alignment_score,ad_age_days,ad_lifecycle_stage,location_type,season,processing_date,export_timestamp,export_version,environment
AD_0035,Travel,Tablet,Delhi,Video,0.7,39.2,6,456,0.0153,23.9,4.2,0.0,0.0,0,0.0317,0.0317,42.0,456,0.61,0.05,0.0757,facebook,Tablet,0.0,4.2,0.0,Afternoon,7,15.0,2026-02-05,2026-02-05,0.55,-1.0,0.0,0,0.0,0.382,0.0757,83,New,Urban,Winter,2026-02-05,2026-08-03T15:45:00,v2.0,Demo
AD_0036,Travel,Mobile,Tamil Nadu,Carousel,0.25,0.0,11,668,0.0174,0.0,2.75,0.0,0.0,0,0.0338,0.0338,43.0,668,0.0,0.1,0.047,google,Mobile,0.0,2.75,0.0,Afternoon,4,13.2,2026-02-06,2026-02-06,0.35,-1.0,0.0,0,0.0,0.087,0.047,100,Growing,Urban,Winter,2026-02-06,2026-08-03T15:45:00,v2.0,Demo
AD_0037,Health,Desktop,Maharashtra,Text,0.88,0.0,29,1064,0.0277,0.0,25.52,49.81,1.95,1,0.0361,0.0361,49.0,1064,0.0,0.13,0.0666,google,Desktop,2.06,25.52,49.81,Afternoon,1,11.9,2026-02-07,2026-02-07,0.16,0.4877,25.52,0,0.0392,0.138,0.0666,115,Mature,Urban,Spring,2026-02-07,2026-08-03T15:45:00,v2.0,Demo
AD_0038,Food,Tablet,Maharashtra,Text,1.31,0.0,10,385,0.0273,0.0,13.1,0.0,0.0,0,0.0241,0.0241,19.0,385,0.0,0.17,0.0729,facebook,Tablet,0.0,13.1,0.0,Morning,4,17.5,2026-02-08,2026-02-08,0.1,-1.0,0.0,0,0.0,0.136,0.0729,9,Mature,Rural,Winter,2026-02-08,2026-08-03T15:45:00,v2.0,Demo
AD_0039,Food,All-Devices,Karnataka,Image,0.95,0.0,27,1190,0.0234,0.0,25.65,0.0,0.0,0,0.0122,0.0122,41.0,1190,0.0,0.1,0.074,other,All-Devices,0.0,25.65,0.0,Morning,1,19.5,2026-02-09,2026-02-09,0.12,-1.0,0.0,0,0.0,0.117,0.074,112,Growing,Urban,Summer,2026-02-09,2026-08-03T15:45:00,v2.0,Demo
AD_0040,Electronics,All-Devices,Uttar Pradesh,Video,0.46,24.0,9,1197,0.0082,16.3,4.14,0.0,0.0,0,0.0139,0.0139,20.0,1197,0.68,0.16,0.0147,other,All-Devices,0.0,4.14,0.0,Afternoon,2,17.6,2026-02-10,2026-02-10,0.83,-1.0,0.0,0,0.0,0.381,0.0147,36,Mature,Rural,Fall,2026-02-10,2026-08-03T15:45:00,v2.0,Demo
AD_0041,Health,All-Devices,Tamil Nadu,Video,0.67,5.3,4,448,0.0095,3.4,2.68,0.0,0.0,0,0.0153,0.0153,47.0,448,0.65,0.08,0.0874,instagram,All-Devices,0.0,2.68,0.0,Afternoon,5,11.6,2026-02-11,2026-02-11,0.56,-1.0,0.0,0,0.0,0.372,0.0874,102,Mature,Rural,Fall,2026-02-11,2026-08-03T15:45:00,v2.0,Demo
AD_0042,Gaming,Desktop,Delhi,Image,0.76,0.0,6,842,0.0078,0.0,4.56,117.18,25.7,1,0.0258,0.0258,20.0,842,0.0,0.16,0.0512,other,Desktop,26.69,4.56,117.18,Evening,7,17.4,2026-02-12,2026-02-12,0.05,0.9611,4.56,0,0.2193,0.039,0.0512,40,New,Urban,Fall,2026-02-12,2026-08-03T15:45:00,v2.0,Demo
AD_0043,Health,Desktop,Tamil Nadu,Text,0.93,0.0,17,764,0.0223,0.0,15.81,53.61,3.39,1,0.0061,0.0061,56.0,764,0.0,0.09,0.0336,google,Desktop,3.64,15.81,53.61,Evening,5,9.1,2026-02-13,2026-02-13,0.12,0.7051,15.81,1,0.0633,0.112,0.0336,93,Declining,Urban,Summer,2026-02-13,2026-08-03T15:45:00,v2.0,Demo
AD_0044,Gaming,All-Devices,Delhi,Carousel,1.18,0.0,3,100,0.0313,0.0,3.54,0.0,0.0,0,0.0273,0.0273,47.0,100,0.0,0.07,0.0318,google,All-Devices,0.0,3.54,0.0,Night,2,8.8,2026-02-14,2026-02-14,0.13,-1.0,0.0,0,0.0,0.156,0.0318,24,Mature,Urban,Summer,2026-02-14,2026-08-03T15:45:00,v2.0,Demo
AD_0045,Electronics,Tablet,Uttar Pradesh,Image,0.28,0.0,6,373,0.018,0.0,1.68,105.28,62.67,1,0.0178,0.0178,39.0,373,0.0,0.08,0.0535,other,Tablet,66.05,1.68,105.28,Evening,4,11.8,2026-02-15,2026-02-15,0.32,0.984,1.68,0,0.5952,0.09,0.0535,48,Declining,Semi-Urban,Summer,2026-02-15,2026-08-03T15:45:00,v2.0,Demo
AD_0046,Fashion,Desktop,Delhi,Carousel,1.35,0.0,8,838,0.0098,0.0,10.8,0.0,0.0,0,0.0153,0.0153,37.0,838,0.0,0.08,0.0898,google,Desktop,0.0,10.8,0.0,Evening,4,18.3,2026-02-16,2026-02-16,0.04,-1.0,0.0,0,0.0,0.049,0.0898,63,Growing,Rural,Fall,2026-02-16,2026-08-03T15:45:00,v2.0,Demo
AD_0047,Food,All-Devices,Karnataka,Text,0.17,0.0,4,190,0.0217,0.0,0.68,0.0,0.0,0,0.0358,0.0358,23.0,190,0.0,0.13,0.0441,facebook,All-Devices,0.0,0.68,0.0,Evening,3,10.4,2026-02-17,2026-02-17,0.64,-1.0,0.0,0,0.0,0.108,0.0441,69,Growing,Urban,Winter,2026-02-17,2026-08-03T15:45:00,v2.0,Demo
AD_0048,Electronics,All-Devices,Karnataka,Video,0.65,9.5,15,519,0.0294,2.8,9.75,0.0,0.0,0,0.0211,0.0211,30.0,519,0.29,0.18,0.0775,facebook,All-Devices,0.0,9.75,0.0,Morning,7,7.9,2026-02-18,2026-02-18,0.45,-1.0,0.0,0,0.0,0.292,0.0775,53,Mature,Semi-Urban,Summer,2026-02-18,2026-08-03T15:45:00,v2.0,Demo
AD_0049,Food,Tablet,Karnataka,Text,0.19,0.0,22,836,0.0273,0.0,4.18,0.0,0.0,0,0.0083,0.0083,54.0,836,0.0,0.06,0.0187,other,Tablet,0.0,4.18,0.0,Evening,7,8.8,2026-02-19,2026-02-19,0.72,-1.0,0.0,0,0.0,0.136,0.0187,54,Growing,Rural,Spring,2026-02-19,2026-08-03T15:45:00,v2.0,Demo
AD_0050,Travel,Mobile,Karnataka,Image,0.68,0.0,44,1407,0.0314,0.0,29.92,55.71,1.86,1,0.0339,0.0339,56.0,1407,0.0,0.16,0.0528,facebook,Mobile,1.89,29.92,55.71,Evening,7,19.0,2026-02-20,2026-02-20,0.23,0.4629,29.92,0,0.0334,0.157,0.0528,42,New,Semi-Urban,Summer,2026-02-20,2026-08-03T15:45:00,v2.0,Demo
AD_0051,Fashion,Desktop,Tamil Nadu,Video,0.86,37.9,13,1013,0.0133,20.8,11.18,0.0,0.0,0,0.0067,0.0067,18.0,1013,0.55,0.15,0.0993,facebook,Desktop,0.0,11.18,0.0,Afternoon,1,15.9,2026-02-21,2026-02-21,0.4,-1.0,0.0,0,0.0,0.342,0.0993,119,Mature,Semi-Urban,Spring,2026-02-21,2026-08-03T15:45:00,v2.0,Demo
AD_0052,Fashion,Tablet,Uttar Pradesh,Image,0.84,0.0,11,1057,0.0108,0.0,9.24,0.0,0.0,0,0.0304,0.0304,43.0,1057,0.0,0.18,0.0793,instagram,Tablet,0.0,9.24,0.0,Morning,4,10.5,2026-02-22,2026-02-22,0.06,-1.0,0.0,0,0.0,0.054,0.0793,45,Mature,Urban,Fall,2026-02-22,2026-08-03T15:45:00,v2.0,Demo
AD_0053,Electronics,All-Devices,Delhi,Image,0.37,0.0,13,422,0.0314,0.0,4.81,33.87,7.04,1,0.0321,0.0321,48.0,422,0.0,0.09,0.0289,instagram,All-Devices,6.44,4.81,33.87,Night,2,14.8,2026-02-23,2026-02-23,0.42,0.858,4.81,1,0.2079,0.157,0.0289,90,Mature,Rural,Spring,2026-02-23,2026-08-03T15:45:00,v2.0,Demo
AD_0054,Fashion,All-Devices,Delhi,Text,1.02,0.0,13,543,0.0247,0.0,13.26,0.0,0.0,0,0.0173,0.0173,44.0,543,0.0,0.12,0.0551,facebook,All-Devices,0.0,13.26,0.0,Night,4,14.4,2026-02-24,2026-02-24,0.12,-1.0,0.0,0,0.0,0.124,0.0551,14,Growing,Semi-Urban,Summer,2026-02-24,2026-08-03T15:45:00,v2.0,Demo
AD_0055,Gaming,Tablet,Karnataka,Image,0.21,0.0,11,800,0.0143,0.0,2.31,0.0,0.0,0,0.0339,0.0339,21.0,800,0.0,0.19,0.031,other,Tablet,0.0,2.31,0.0,Evening,5,16.2,2026-02-25,2026-02-25,0.34,-1.0,0.0,0,0.0,0.072,0.031,103,Growing,Rural,Summer,2026-02-25,2026-08-03T15:45:00,v2.0,Demo
AD_0056,Fashion,Desktop,Karnataka,Text,1.18,0.0,33,1229,0.0273,0.0,38.94,0.0,0.0,0,0.023,0.023,27.0,1229,0.0,0.15,0.0469,instagram,Desktop,0.0,38.94,0.0,Night,1,10.3,2026-02-26,2026-02-26,0.12,-1.0,0.0,0,0.0,0.136,0.0469,29,Mature,Urban,Winter,2026-02-26,2026-08-03T15:45:00,v2.0,Demo
AD_0057,Food,Mobile,Maharashtra,Video,1.43,23.2,10,340,0.0295,12.3,14.3,0.0,0.0,0,0.0212,0.0212,29.0,340,0.53,0.11,0.0802,google,Mobile,0.0,14.3,0.0,Night,7,19.1,2026-02-27,2026-02-27,0.29,-1.0,0.0,0,0.0,0.412,0.0802,116,Declining,Rural,Fall,2026-02-27,2026-08-03T15:45:00,v2.0,Demo
AD_0058,Food,Mobile,Uttar Pradesh,Text,0.61,0.0,28,1217,0.0234,0.0,17.08,89.22,5.22,1,0.0066,0.0066,53.0,1217,0.0,0.07,0.0794,google,Mobile,5.2,17.08,89.22,Night,6,11.3,2026-02-28,2026-02-28,0.19,0.8086,17.08,1,0.0585,0.117,0.0794,6,Growing,Semi-Urban,Spring,2026-02-28,2026-08-03T15:45:00,v2.0,Demo
AD_0059,Food,All-Devices,Tamil Nadu,Video,0.85,42.5,3,155,0.0256,22.5,2.55,0.0,0.0,0,0.0152,0.0152,37.0,155,0.53,0.09,0.0305,google,All-Devices,0.0,2.55,0.0,Evening,3,16.7,2026-03-01,2026-03-01,0.46,-1.0,0.0,0,0.0,0.393,0.0305,7,Growing,Semi-Urban,Fall,2026-03-01,2026-08-03T15:45:00,v2.0,Demo
AD_0060,Food,Desktop,Delhi,Text,0.66,0.0,24,1493,0.0163,0.0,15.84,0.0,0.0,0,0.0376,0.0376,38.0,1493,0.0,0.14,0.093,other,Desktop,0.0,15.84,0.0,Night,1,7.2,2026-03-02,2026-03-02,0.12,-1.0,0.0,0,0.0,0.081,0.093,37,Mature,Rural,Summer,2026-03-02,2026-08-03T15:45:00,v2.0,Demo
AD_0061,Gaming,Mobile,Maharashtra,Carousel,0.16,0.0,15,719,0.0212,0.0,2.4,0.0,0.0,0,0.0187,0.0187,57.0,719,0.0,0.16,0.0633,facebook,Mobile,0.0,2.4,0.0,Evening,5,12.2,2026-03-03,2026-03-03,0.66,-1.0,0.0,0,0.0,0.106,0.0633,53,Declining,Semi-Urban,Winter,2026-03-03,2026-08-03T15:45:00,v2.0,Demo
AD_0062,Health,Desktop,Maharashtra,Carousel,0.67,0.0,1,51,0.0207,0.0,0.67,0.0,0.0,0,0.0241,0.0241,45.0,51,0.0,0.07,0.0442,google,Desktop,0.0,0.67,0.0,Afternoon,7,11.9,2026-03-04,2026-03-04,0.16,-1.0,0.0,0,0.0,0.104,0.0442,18,Mature,Semi-Urban,Summer,2026-03-04,2026-08-03T15:45:00,v2.0,Demo
AD_0063,Travel,Desktop,Delhi,Image,1.22,0.0,19,638,0.0304,0.0,23.18,0.0,0.0,0,0.0236,0.0236,56.0,638,0.0,0.14,0.0552,other,Desktop,0.0,23.18,0.0,Afternoon,5,14.6,2026-03-05,2026-03-05,0.12,-1.0,0.0,0,0.0,0.152,0.0552,87,Growing,Semi-Urban,Summer,2026-03-05,2026-08-03T15:45:00,v2.0,Demo
